Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
1750,FWS,2006,06-08-2006 00:00,06-09-2006 00:00,22530,GUIJAS 1,Human,ARI,4,10
1751,FWS,2006,6/16/2006 0:00,6/18/2006 0:00,22530,GUIJAS MTN,Human,ARI,4,2
1752,FWS,1996,06-04-1996 00:00,06-05-1996 00:00,22551,DELTA96,Human,ARI,4,1.5
1753,FWS,1994,8/15/1994 0:00,8/17/1994 0:00,22551,KOHEN,Natural,ARI,4,80
1754,FWS,2003,8/26/2003 0:00,8/30/2003 0:00,22551,BILL WILLIAMS,Natural,ARI,4,50
1755,FWS,2006,7/28/2006 0:00,08-10-2006 00:00,22551,SEMI,Human,ARI,4,350
1756,FWS,1987,05-07-1987 00:00,05-08-1987 00:00,22540,ISLANDUNIT,Natural,CAL,6,650
1757,FWS,1987,7/28/1987 0:00,08-01-1987 00:00,22540,N ISLAND,Natural,ARI,4,580
1758,FWS,1990,4/27/1990 0:00,4/28/1990 0:00,22540,ISLAND,Human,CAL,6,50
1759,FWS,1988,6/25/1988 0:00,6/25/1988 0:00,22540,ISLAND TIP,Human,CAL,6,2
1760,FWS,1992,3/18/1992 0:00,3/20/1992 0:00,22540,WALTERS,Human,CAL,6,1800
1761,FWS,1988,8/19/1988 0:00,8/20/1988 0:00,22540,JEEP,Human,CAL,6,30
1762,FWS,1993,5/17/1993 0:00,5/17/1993 0:00,22540,TURNAROUND,Human,ARI,4,0.5
1763,FWS,1991,02-02-1991 00:00,02-02-1991 00:00,22540,PRTTY WTR,Human,CAL,6,1
1764,FWS,1994,2/18/1994 0:00,2/19/1994 0:00,22540,SURENO,Human,ARI,4,18.9
1765,FWS,2002,6/23/2002 0:00,07-11-2002 00:00,22540,HIPPY,Human,ARI,4,424.3
1766,FWS,1994,04-10-1994 00:00,04-10-1994 00:00,22540,CBLK9404,Human,CAL,6,8
1767,FWS,1994,10/19/1994 0:00,10/19/1994 0:00,22540,BASELINE,Human,ARI,4,15
1768,FWS,1997,8/16/1997 0:00,8/17/1997 0:00,22540,MARLOWE,Human,ARI,4,150
1769,FWS,2001,01-01-2001 00:00,01-01-2001 00:00,22540,OXBOW,Human,ARI,4,20
1770,FWS,2003,04-07-2003 00:00,04-09-2003 00:00,22540,LATE FOR DINNER,Human,ARI,4,10
1771,FWS,2003,09-06-2003 00:00,09-08-2003 00:00,22540,DAVIS LAKE,Human,CAL,6,3
1772,FWS,2005,08-08-2005 00:00,08-11-2005 00:00,22540,GAMER,Natural,ARI,4,39
1773,FWS,2006,08-09-2006 00:00,8/19/2006 0:00,22540,WALTERS,Natural,ARI,4,730
1774,FWS,2006,8/23/2006 0:00,8/23/2006 0:00,22540,RADIO,Human,ARI,4,0.3
1775,FWS,2006,7/16/2006 0:00,7/23/2006 0:00,22540,CIBOLA,Natural,ARI,4,4600
1776,FWS,2005,04-07-2005 00:00,,22571,GROWLER,Human,ARI,4,200
1777,FWS,2005,4/18/2005 0:00,4/21/2005 0:00,22571,CAMINO,Human,ARI,4,1025
1778,FWS,2005,5/13/2005 0:00,5/18/2005 0:00,22571,GROWLER PEAK,Human,ARI,4,7500
1779,FWS,2006,6/25/2006 0:00,6/25/2006 0:00,22571,MIGRANT,Human,ARI,4,30
1780,FWS,1981,01-08-1981 00:00,,22552,BILLWMSDLT,Human,ARI,4,190
1781,FWS,1992,01-11-1992 00:00,01-12-1992 00:00,22552,LOSTLAKE,Human,CAL,6,550
1782,FWS,1981,05-06-1981 00:00,05-07-1981 00:00,22552,TOPACK,Human,CAL,6,1000
1783,FWS,1989,2/18/1989 0:00,2/20/1989 0:00,22552,S.DIKE 1,Human,ARI,4,110
1784,FWS,2001,5/20/2001 0:00,5/21/2001 0:00,22552,TRAMPAS,Human,CAL,6,0.2
1785,FWS,2001,06-01-2001 00:00,06-01-2001 00:00,22552,PIPELINE,Human,ARI,4,6
1786,FWS,1992,6/13/1992 0:00,6/13/1992 0:00,22552,DIKE,Human,ARI,4,0.1
1787,FWS,2001,6/24/2001 0:00,6/25/2001 0:00,22552,GORGE,Human,CAL,6,200
1788,FWS,1995,03-03-1995 00:00,03-03-1995 00:00,22552,TRESSEL,Human,ARI,4,0.2
1789,FWS,1987,6/15/1987 0:00,6/15/1987 0:00,22552,HAVASU,Human,NEV,32,12
1790,FWS,1986,07-10-1986 00:00,07-12-1986 00:00,22552,HAVASU,Human,CAL,6,574
1791,FWS,1986,07-05-1986 00:00,07-05-1986 00:00,22552,RIVER,Human,CAL,6,1
1792,FWS,1995,3/31/1995 0:00,04-01-1995 00:00,22552,GOLDEN,Human,ARI,4,1.2
1793,FWS,1990,5/26/1990 0:00,5/27/1990 0:00,22552,MESQUITESO,Human,ARI,4,20
1794,FWS,1989,07-09-1989 00:00,7/13/1989 0:00,22552,PLANET,Natural,ARI,4,890
1795,FWS,1995,05-02-1995 00:00,05-07-1995 00:00,22552,ICEHOUSE,Human,CAL,6,256
1796,FWS,1992,08-02-1992 00:00,08-02-1992 00:00,22552,PINTAIL,Human,ARI,4,0
1797,FWS,1990,9/18/1990 0:00,9/28/1990 0:00,22552,DWDELTA,Natural,ARI,4,540
1798,FWS,1989,9/30/1989 0:00,9/30/1989 0:00,22552,TAMARISK,Human,ARI,4,0.1
1799,FWS,1995,6/27/1995 0:00,6/28/1995 0:00,22552,SACRAMENTO,Human,ARI,4,2
1800,FWS,1992,08-12-1992 00:00,8/13/1992 0:00,22552,SOLE,Human,ARI,4,0.1
1801,FWS,1995,8/21/1995 0:00,8/21/1995 0:00,22552,FLARE,Human,ARI,4,0.1
1802,FWS,1998,4/23/1998 0:00,4/24/1998 0:00,22552,SHORES,Human,ARI,4,5
1803,FWS,1998,07-05-1998 00:00,09-02-1998 00:00,22552,SOUTH DIKE,Human,ARI,4,2200
1804,FWS,1996,03-12-1996 00:00,3/14/1996 0:00,22552,GOOSENECK,Human,ARI,4,450
1805,FWS,2002,03-02-2002 00:00,03-02-2002 00:00,22552,WINSOR,Human,ARI,4,10
1806,FWS,1993,5/20/1993 0:00,5/21/1993 0:00,22552,PINTAIL,Human,ARI,4,6
1807,FWS,1993,5/25/1993 0:00,5/26/1993 0:00,22552,FIREBREAK,Human,ARI,4,10
1808,FWS,1993,7/13/1993 0:00,7/15/1993 0:00,22552,ONREFUGE,Human,ARI,4,11.2
1809,FWS,1993,8/19/1993 0:00,8/20/1993 0:00,22552,CRYSTAL,Human,ARI,4,20
1810,FWS,2002,3/31/2002 0:00,3/31/2002 0:00,22552,VISTA,Human,ARI,4,0.1
1811,FWS,2000,4/16/2000 0:00,4/16/2000 0:00,22552,COONCOVE,Human,ARI,4,3
1812,FWS,2000,4/18/2000 0:00,4/18/2000 0:00,22552,B WASH,Human,ARI,4,0.1
1813,FWS,1996,12-07-1996 00:00,12-08-1996 00:00,22552,MESQUITE,Human,ARI,4,0.2
1814,FWS,1993,11/27/1993 0:00,11/27/1993 0:00,22552,POWER,Human,ARI,4,0.1
1815,FWS,1991,4/15/1991 0:00,4/17/1991 0:00,22552,MINERAL,Human,ARI,4,95
