Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
5/24/2006,8/24/2009,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,BS
5/25/2006,2/19/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,HC
5/30/2006,5/30/2013,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,J,J1,BN
06-01-2006,10/15/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,SANDPOINT
06-01-2006,08-01-2010,TRESPASS,TRESPASS,WEST,Q,Q2,QA
06-01-2006,9/18/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,S,S1,MBH
06-03-2006,06-03-2006,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,S,S3,RB
06-06-2006,06-06-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F3,HPC
06-07-2006,06-12-2008,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,NORTH,U,U3,SANDPOINT
06-07-2006,06-08-2008,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,BELLTOWN
06-07-2006,06-07-2006,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,Q,Q3,QA
6/13/2006,6/15/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F1,ND
6/17/2006,6/24/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,SOUTH,R,R1,MBH
6/18/2006,6/23/2008,CAR PROWL,THEFT-CARPROWL,EAST,C,C2,MADISON PARK
6/23/2006,10/30/2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D1,SC
6/24/2006,6/24/2006,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S3,RV
6/27/2006,05-05-2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,C,C1,CH
07-01-2006,7/26/2011,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C2,MILLER PARK
07-06-2006,5/28/2010,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,NORTH,J,J3,RR
7/16/2006,7/16/2006,RAPE,RAPE-STRONGARM,SOUTH,R,R3,HC
7/23/2006,7/24/2006,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,R,R2,CR
7/25/2006,7/25/2006,RAPE,RAPE-STRONGARM,NORTH,L,L1,NG
7/28/2006,7/28/2006,HOMICIDE,HOMICIDE-PREMEDITATED-GUN,WEST,M,M1,BELLTOWN
08-01-2006,8/23/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-LEWD CONDUCT,EAST,E,E1,CH
8/16/2006,8/16/2009,CAR PROWL,THEFT-CARPROWL,SOUTHWEST,W,W3,RWA
8/26/2006,8/26/2006,HOMICIDE,HOMICIDE-PREMEDITATED-BODYFORCE,WEST,M,M3,DC
09-01-2006,05-05-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,QA
09-01-2006,08-06-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,K,K2,PS
09-01-2006,01-08-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,LW/SP
09-06-2006,09-06-2006,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,E,E2,CH
9/17/2006,9/18/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
9/19/2006,9/19/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,B,B3,WALLINGFORD
